[0 , 0] , 62 , [3 , 5]
[0 , 1] , 61 , [5 , 3]
[0 , 2] , 63 , [3 , 2]
[0 , 3] , 61 , [5 , 3]
[0 , 4] , 63 , [5 , 4]
[0 , 5] , 57 , [3 , 5]
[0 , 6] , 59 , [5 , 2]
[0 , 7] , 61 , [3 , 5]
[1 , 0] , 62 , [5 , 2]
[1 , 1] , 61 , [4 , 5]
[1 , 2] , 61 , [5 , 3]
[1 , 3] , 59 , [5 , 2]
[1 , 4] , 62 , [5 , 2]
[1 , 5] , 57 , [0 , 3]
[1 , 6] , 63 , [4 , 4]
[1 , 7] , 62 , [2 , 2]
[2 , 0] , 59 , [5 , 2]
[2 , 1] , 60 , [5 , 2]
[2 , 2] , 55 , [4 , 1]
[2 , 3] , 63 , [5 , 3]
[2 , 4] , 58 , [3 , 5]
[2 , 5] , 63 , [2 , 2]
[2 , 6] , 62 , [2 , 2]
[2 , 7] , 62 , [5 , 2]
[3 , 0] , 58 , [2 , 5]
[3 , 1] , 52 , [2 , 2]
[3 , 2] , 59 , [4 , 4]
[3 , 3] , 61 , [5 , 2]
[3 , 4] , 58 , [0 , 3]
[3 , 5] , 63 , [4 , 3]
[3 , 6] , 62 , [3 , 2]
[3 , 7] , 55 , [4 , 3]
[4 , 0] , 57 , [4 , 3]
[4 , 1] , 59 , [2 , 4]
[4 , 2] , 57 , [5 , 0]
[4 , 3] , 59 , [3 , 5]
[4 , 4] , 58 , [5 , 3]
[4 , 5] , 62 , [3 , 2]
[4 , 6] , 59 , [5 , 2]
[4 , 7] , 59 , [5 , 3]
[5 , 0] , 58 , [4 , 3]
[5 , 1] , 62 , [5 , 3]
[5 , 2] , 55 , [2 , 2]
[5 , 3] , 59 , [4 , 1]
[5 , 4] , 51 , [4 , 2]
[5 , 5] , 59 , [7 , 4]
[5 , 6] , 59 , [3 , 5]
[5 , 7] , 55 , [5 , 4]
[6 , 0] , 61 , [3 , 4]
[6 , 1] , 60 , [3 , 2]
[6 , 2] , 60 , [2 , 2]
[6 , 3] , 55 , [2 , 2]
[6 , 4] , 61 , [4 , 5]
[6 , 5] , 57 , [5 , 3]
[6 , 6] , 61 , [4 , 5]
[6 , 7] , 59 , [3 , 5]
[7 , 0] , 63 , [5 , 3]
[7 , 1] , 54 , [2 , 2]
[7 , 2] , 61 , [2 , 2]
[7 , 3] , 57 , [3 , 2]
[7 , 4] , 59 , [5 , 3]
[7 , 5] , 63 , [3 , 2]
[7 , 6] , 62 , [3 , 2]
[7 , 7] , 60 , [5 , 3]
